Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
12/29/2023,12/29/2023,1/2/2024,NEE,Option Expiration for NEE 12/29/2023 Call $62.00,OEXP,2,,
12/29/2023,12/29/2023,12/29/2023,,Interest Payment,INT,,,$33.01
12/29/2023,12/29/2023,1/2/2024,,ACH Deposit,ACH,,,"$2,000.00"
12/28/2023,12/28/2023,12/28/2023,NVDA,Cash Div: R/D 2023-12-06 P/D 2023-12-28 - 55 shares at 0.04,CDIV,,,$2.20
12/27/2023,12/27/2023,12/27/2023,,Interest Payment,INT,,,$23.10
12/26/2023,12/26/2023,12/27/2023,NEE,NEE 12/29/2023 Call $62.00,STO,2,$0.16,$31.92
12/22/2023,12/22/2023,12/26/2023,MRVL,Option Expiration for MRVL 12/22/2023 Put $58.00,OEXP,3,,
12/22/2023,12/22/2023,12/26/2023,NEE,NEE 12/22/2023 Put $61.00,OASGN,2,,
12/22/2023,12/22/2023,12/27/2023,NEE,"NextEra Energy
CUSIP: 65339F101
2 NEE Options Assigned",Buy,200,$61.00,"($12,200.00)"
12/22/2023,12/22/2023,12/26/2023,SPCE,Option Expiration for SPCE 12/22/2023 Call $3.00,OEXP,30,,
12/20/2023,12/20/2023,12/22/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,5,$481.70,"($2,408.50)"
12/19/2023,12/19/2023,12/21/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,5,$494.83,"($2,474.16)"
12/18/2023,12/18/2023,12/19/2023,NEE,NEE 12/22/2023 Put $61.00,STO,1,$0.45,$44.95
12/18/2023,12/18/2023,12/19/2023,NEE,NEE 12/22/2023 Put $61.00,STO,1,$0.45,$44.95
12/18/2023,12/18/2023,12/19/2023,MRVL,MRVL 12/22/2023 Put $58.00,STO,1,$0.38,$37.95
12/18/2023,12/18/2023,12/19/2023,MRVL,MRVL 12/22/2023 Put $58.00,STO,1,$0.38,$37.95
12/18/2023,12/18/2023,12/19/2023,MRVL,MRVL 12/22/2023 Put $58.00,STO,1,$0.38,$37.95
12/15/2023,12/15/2023,12/18/2023,AMD,Option Expiration for AMD 12/15/2023 Put $125.00,OEXP,2,,
12/15/2023,12/15/2023,12/18/2023,MRVL,Option Expiration for MRVL 12/15/2023 Put $52.50,OEXP,3,,
12/15/2023,12/15/2023,12/18/2023,,ACH Deposit,ACH,,,"$3,000.00"
12/14/2023,12/14/2023,12/14/2023,MSFT,Cash Div: R/D 2023-11-16 P/D 2023-12-14 - 7.071625 shares at 0.75,CDIV,,,$5.30
